id,chemin,classe,r_channel_mean,r_channel_var,r_channel_std,r_channel_25p,r_channel_50p,r_channel_75p,r_channel_iqr,g_channel_mean,g_channel_var,g_channel_std,g_channel_25p,g_channel_50p,g_channel_75p,g_channel_iqr,b_channel_mean,b_channel_var,b_channel_std,b_channel_25p,b_channel_50p,b_channel_75p,b_channel_iqr,r_hist_0,r_hist_1,r_hist_2,r_hist_3,g_hist_0,g_hist_1,g_hist_2,g_hist_3,b_hist_0,b_hist_1,b_hist_2,b_hist_3
123,../data/images/train/clean/WhatsApp Image 2020-05-10 at 5.16.14 PM (4).jpeg,clean,105.20206642066421,1731.2347472674217,41.608109152753165,82.0,95.0,117.0,35.0,98.46608548585486,1550.0763836310682,39.371009431192746,78.0,90.0,105.0,27.0,89.14003997539976,1359.3003119295215,36.868690130373786,67.0,86.0,97.0,30.0,8.59,72.2,13.72,5.49,12.04,73.32,10.41,4.24,21.28,69.22,6.38,3.11
124,../data/images/train/clean/WhatsApp Image 2020-07-11 at 5.43.32 PM (4).jpeg,clean,128.53617895545315,2576.567523648466,50.75990074506121,94.0,117.0,153.0,59.0,126.09183947772658,2613.630701455031,51.12368043729864,93.0,113.0,149.0,56.0,117.17993855606758,2734.9268694278676,52.29652827318337,82.0,100.0,138.0,56.0,6.18,53.23,24.61,15.99,6.51,58.71,18.75,16.03,8.51,62.94,15.52,13.03
125,../data/images/train/clean/WhatsApp Image 2020-08-27 at 3.47.00 PM.jpeg,clean,125.16181423611111,2871.006782009473,53.5817765850431,86.0,112.0,163.0,77.0,137.45988425925927,3148.4422043847526,56.11098113903154,101.0,125.0,166.0,65.0,119.87941840277777,4602.879502323781,67.84452448299554,73.0,92.0,158.0,85.0,8.18,52.9,21.88,17.04,6.33,46.79,24.69,22.19,16.93,52.06,9.68,21.32
126,../data/images/train/clean/WhatsApp Image 2020-05-10 at 3.38.05 PM.jpeg,clean,134.7945496056455,1383.9053907996356,37.2008788982147,112.0,126.0,158.0,46.0,131.7799605645496,1659.6261592346423,40.73850953624399,102.0,129.0,162.0,60.0,133.38509339975093,1753.5494739327462,41.87540416441072,99.0,143.0,163.0,64.0,1.27,50.16,41.05,7.53,4.09,43.8,45.48,6.63,5.85,32.08,57.33,4.74
127,../data/images/train/clean/02997_06.jpg,clean,125.40724444444444,1210.438390851358,34.79135511662859,97.0,131.0,147.0,50.0,128.4383638888889,1044.7693176564735,32.322891542318324,107.0,128.0,145.0,38.0,126.736075,1836.4276074832637,42.85356003278215,105.0,129.0,157.0,52.0,2.74,43.98,50.58,2.71,2.01,46.18,48.91,2.9,9.75,38.71,47.41,4.13
128,../data/images/train/clean/01200_07.jpg,clean,117.13494166666666,2323.5297990799304,48.203006120779754,76.0,120.0,148.0,72.0,119.52903888888889,2514.4007289651536,50.143800503802595,71.0,130.0,152.0,81.0,118.62235,3117.6254804775012,55.83570077000468,68.0,118.0,162.0,94.0,16.51,41.25,35.61,6.63,15.89,32.43,44.58,7.1,21.02,31.92,38.88,8.19
129,../data/images/train/clean/02997_07.jpg,clean,130.20120277777778,1805.9512146644367,42.49648473302747,100.0,134.0,152.0,52.0,133.273275,1654.0390568854868,40.669878987839226,110.0,133.0,156.0,46.0,130.61694166666666,2358.4065357577088,48.563427965473245,103.0,131.0,166.0,63.0,7.03,34.31,49.55,9.1,4.79,35.31,50.46,9.43,12.35,33.43,43.71,10.51
130,../data/images/train/clean/WhatsApp Image 2020-10-20 at 7.17.23 PM (2).jpeg,clean,138.23965614548496,1122.8238577831019,33.50856394689426,117.0,128.0,160.0,43.0,140.55373745819398,1071.0815761233791,32.72738266533667,121.0,132.0,160.0,39.0,142.07487301421403,1017.3793161680308,31.89638406101906,125.0,136.0,158.0,33.0,0.47,48.19,46.68,4.67,0.47,39.78,54.57,5.17,0.72,28.93,64.92,5.43
131,../data/images/train/clean/WhatsApp Image 2020-05-09 at 2.08.14 PM.jpeg,clean,111.08105285592498,3168.187407416644,56.28665390140583,67.0,110.0,136.0,69.0,111.89692668371697,2840.1423042802176,53.292985507289956,79.0,109.0,136.0,57.0,105.17214833759591,3166.7662302525064,56.274028025835385,61.0,107.0,133.0,72.0,21.72,45.17,23.98,9.13,18.39,49.67,24.9,7.03,27.52,42.46,23.1,6.93
132,../data/images/train/clean/WhatsApp Image 2020-07-11 at 5.39.59 PM (11).jpeg,clean,125.48547263681591,1512.1810967026981,38.8867727730484,107.0,120.0,134.0,27.0,122.27526652452026,1556.900184275091,39.45757448545325,104.0,117.0,129.0,25.0,113.22963041933191,1524.7531689465652,39.04808790384703,94.0,110.0,122.0,28.0,3.73,61.29,28.47,6.51,4.2,68.34,21.24,6.23,6.54,75.29,12.66,5.51
133,../data/images/train/clean/WhatsApp Image 2020-05-09 at 9.56.49 AM (2).jpeg,clean,122.53803052325581,1337.9024248033315,36.57734852068055,92.0,126.0,153.0,61.0,121.57889292635659,1601.2267700922177,40.01533168789455,87.0,130.0,154.0,67.0,120.12303052325582,2455.1527728895717,49.54949821027022,71.0,130.0,163.0,92.0,3.98,46.73,48.25,1.04,10.29,37.64,51.09,0.98,18.52,30.37,48.0,3.11
134,../data/images/train/clean/WhatsApp Image 2020-08-20 at 7.44.06 AM.jpeg,clean,137.24183006535947,2737.8405959246447,52.32437860046352,100.0,133.0,177.0,77.0,134.72375453885257,2498.490565714622,49.98490337806628,99.0,135.0,167.0,68.0,121.90677196804648,2369.703280211618,48.67959819279138,87.0,116.0,155.0,68.0,7.7,38.21,35.86,18.22,7.87,36.21,40.74,15.18,10.69,50.18,28.79,10.35
135,../data/images/train/clean/00279_01.jpg,clean,98.61114166666667,3535.596964196598,59.46088600245205,57.0,77.0,130.0,73.0,101.71327777777778,3535.930707033952,59.46369234275611,60.0,80.0,133.0,73.0,99.48603333333334,3846.149827154444,62.01733489238669,54.0,76.0,133.0,79.0,31.33,42.87,16.38,9.42,28.59,44.53,15.98,10.9,32.97,40.34,13.29,13.4
136,../data/images/train/clean/WhatsApp Image 2020-08-20 at 7.38.13 AM (4).jpeg,clean,160.2340839895013,3467.923293924704,58.88907618501673,113.0,166.0,216.0,103.0,158.3645065616798,3044.044607407436,55.17286114936796,114.0,169.0,206.0,92.0,148.25313385826772,2957.383912751111,54.381834400386964,102.0,159.0,196.0,94.0,6.07,27.69,25.3,40.94,6.06,24.94,28.66,40.34,7.44,30.77,30.4,31.39
137,../data/images/train/clean/WhatsApp Image 2020-10-26 at 9.25.11 AM (1).jpeg,clean,163.4611284221902,3539.751383452888,59.49580979743774,120.0,138.0,225.0,105.0,164.53085734870317,3787.3268684292193,61.5412615115194,119.0,134.0,232.0,113.0,155.61583843659943,3959.2284204335474,62.92239998945961,111.0,125.0,223.0,112.0,3.98,32.7,25.5,37.82,3.59,36.23,21.46,38.71,5.1,47.01,11.57,36.32
138,../data/images/train/clean/WhatsApp Image 2020-06-29 at 8.55.44 AM.jpeg,clean,142.4520797011208,2571.108625189164,50.70610047311037,114.0,142.0,166.0,52.0,140.70794520547946,2304.4080746902323,48.00425058981998,116.0,142.0,164.0,48.0,134.2017310087173,2134.6807657873355,46.20260561686251,109.0,140.0,161.0,52.0,6.74,28.37,50.86,14.04,6.89,27.9,53.59,11.62,9.7,27.13,54.59,8.58
139,../data/images/train/clean/WhatsApp Image 2020-05-24 at 5.10.03 PM (5).jpeg,clean,150.93818322981366,1690.2577884177729,41.11274484168836,131.0,154.0,175.0,44.0,144.42758799171844,1467.2028983230036,38.30408461669595,125.0,149.0,169.0,44.0,131.78363612836438,1250.4583083106613,35.36181992362188,112.0,138.0,158.0,46.0,2.66,20.3,66.51,10.54,3.47,23.16,66.31,7.06,5.48,31.85,61.41,1.26
140,../data/images/train/clean/WhatsApp Image 2020-08-27 at 3.44.11 PM (2).jpeg,clean,95.8415065913371,1658.056675194087,40.71924207538847,71.0,89.0,111.0,40.0,91.27469554300063,1600.372408020928,40.00465482941864,68.0,82.0,104.0,36.0,81.72720025109855,1730.6653919730823,41.60126671116016,56.0,70.0,97.0,41.0,16.93,70.93,7.4,4.75,18.96,71.11,5.41,4.52,37.24,53.54,4.99,4.23
141,../data/images/train/clean/WhatsApp Image 2020-07-12 at 6.25.08 PM (3).jpeg,clean,108.33255152807392,2666.05538673775,51.6338589177465,69.0,107.0,128.0,59.0,105.70727078891258,2636.6548071214143,51.34836713198789,68.0,104.0,126.0,58.0,109.01183368869935,2822.8003432616083,53.1300324041084,69.0,107.0,129.0,60.0,21.13,52.61,16.34,9.92,21.03,56.03,13.39,9.55,20.71,52.78,16.62,9.9
142,../data/images/train/clean/02255_03.jpg,clean,96.35954722222222,3511.6809174616596,59.259437370444715,53.0,76.0,121.0,68.0,99.67186111111111,3358.8941526473773,57.95596736012071,57.0,74.0,138.0,81.0,95.32176666666666,3896.7284495455565,62.42378112182533,53.0,65.0,152.0,99.0,42.13,34.62,12.64,10.62,39.63,28.74,21.45,10.18,47.96,23.16,17.88,10.99
143,../data/images/train/clean/WhatsApp Image 2020-05-19 at 10.25.03 AM (8).jpeg,clean,124.3548086124402,2988.8231140383305,54.670129998366846,87.0,107.0,158.0,71.0,114.44860978203083,2566.855147455917,50.66414064657484,84.0,99.0,137.0,53.0,94.19106858054226,2355.871589554574,48.53732161496526,68.0,87.0,108.0,40.0,8.69,53.17,24.43,13.7,9.8,61.37,18.75,10.08,21.58,63.26,9.82,5.34
144,../data/images/train/clean/00835_06.jpg,clean,120.3072,3222.5683726044435,56.76767013542518,78.0,101.0,178.0,100.0,123.1695888888889,3097.351339608765,55.65385287299313,83.0,103.0,181.0,98.0,115.38586388888889,3786.432928503696,61.53399815145848,67.0,96.0,179.0,112.0,14.64,48.03,14.82,22.51,10.87,51.46,14.58,23.1,22.77,41.65,11.9,23.69
145,../data/images/train/clean/WhatsApp Image 2020-10-10 at 12.11.10 PM (8).jpeg,clean,85.71540305030486,2421.690063100352,49.21067021592321,40.0,79.0,130.0,90.0,89.50283717918742,2214.8112318561707,47.06178101024408,47.0,84.0,132.0,85.0,86.11080286325786,2110.5626089685475,45.940859906716454,47.0,74.0,132.0,85.0,42.58,29.54,26.57,1.31,40.18,30.59,28.11,1.12,42.14,29.94,26.88,1.04
146,../data/images/train/clean/0e02598e-acbb-423e-912e-cf2b922b5bd7.jpeg,clean,130.77175591531756,4470.452624438555,66.86144348156533,89.0,113.0,164.0,75.0,119.74226857617269,4342.826847655553,65.90012782730814,80.0,103.0,136.0,56.0,111.42041926110419,4456.270200737461,66.75530091863463,73.0,96.0,124.0,51.0,13.45,51.82,12.97,21.77,15.62,56.62,10.22,17.54,20.04,56.07,8.44,15.45
147,../data/images/train/clean/WhatsApp Image 2020-10-10 at 12.17.58 PM.jpeg,clean,117.235470840301,2830.860831179856,53.20583455956552,74.0,128.0,158.0,84.0,120.74116534280937,2346.4788261085323,48.44046682380892,85.0,134.0,154.0,69.0,120.69367840719063,2850.056007696325,53.385915817716615,79.0,133.0,154.0,75.0,19.59,30.33,45.52,4.57,17.16,27.57,51.52,3.75,19.38,25.01,46.64,8.96
148,../data/images/train/clean/WhatsApp Image 2020-08-31 at 9.28.16 AM (2).jpeg,clean,100.63062766605728,2411.7712666992716,49.10978789100266,64.0,94.0,139.0,75.0,102.60908287629495,2230.7115987932534,47.23040968267429,69.0,99.0,134.0,65.0,99.57736441194393,2152.0961293120545,46.39069011463458,60.0,97.0,130.0,70.0,24.66,41.33,30.99,3.02,21.68,45.16,29.83,3.33,27.01,43.88,25.63,3.48
149,../data/images/train/clean/01378_04.jpg,clean,138.08269166666668,1453.5708037549305,38.125723648934596,109.0,144.0,169.0,60.0,139.40719444444446,1436.860131573302,37.90593794609628,110.0,144.0,170.0,60.0,135.15425555555555,2042.908638556914,45.19854686333305,104.0,138.0,173.0,69.0,3.52,37.19,54.68,4.6,3.01,39.53,51.39,6.07,7.05,40.03,44.93,7.99
150,../data/images/train/clean/WhatsApp Image 2020-09-24 at 8.52.37 AM (4).jpeg,clean,132.3048066471572,1852.171563016546,43.03686283892619,105.0,131.0,148.0,43.0,124.78202863712374,1837.3421718043642,42.864229513714164,104.0,121.0,138.0,34.0,120.14370662625419,1966.4082985518917,44.34420253597861,93.0,119.0,137.0,44.0,3.69,40.67,46.89,8.75,5.77,54.83,31.94,7.46,8.36,55.25,29.46,6.93
151,../data/images/train/clean/WhatsApp Image 2020-12-17 at 10.28.59 PM (3).jpeg,clean,122.16453832032117,2900.8490378360248,53.85953061284535,82.0,134.0,165.0,83.0,127.15641728249233,2687.1050966740427,51.837294457504655,90.0,136.0,166.0,76.0,122.15082076464643,4242.089527801459,65.13132524217097,66.0,130.0,164.0,98.0,19.6,26.54,47.38,6.48,16.37,27.69,47.85,8.09,24.13,24.4,40.05,11.43
152,../data/images/train/clean/WhatsApp Image 2020-05-09 at 10.19.28 AM (11).jpeg,clean,107.59560479375696,874.1951629564096,29.56679155668416,89.0,114.0,125.0,36.0,106.29975473801561,1101.950113652221,33.195633954666704,89.0,114.0,125.0,36.0,102.98521739130435,1067.5027580631092,32.67266071294331,81.0,113.0,124.0,43.0,8.79,69.15,21.66,0.4,12.52,66.25,20.96,0.27,13.44,67.2,18.94,0.41
153,../data/images/train/clean/00102_01.jpg,clean,133.93586944444445,3019.5663900496224,54.95058134405515,84.0,147.0,181.0,97.0,136.05693888888888,2906.415874629599,53.911185060519664,86.0,143.0,185.0,99.0,136.34883888888888,2931.0679003184873,54.1393378267456,87.0,138.0,188.0,101.0,14.79,25.1,39.76,20.35,9.9,29.21,39.16,21.73,9.08,30.92,37.11,22.89
154,../data/images/train/clean/WhatsApp Image 2020-10-02 at 11.35.04 AM.jpeg,clean,107.81291694407457,3565.8296895107446,59.71456848634799,61.0,93.0,146.0,85.0,106.93270639147804,3510.0514535942184,59.24568721514013,62.0,93.0,145.0,83.0,98.42531957390146,3623.665863413186,60.196892473060316,51.0,82.0,136.0,85.0,28.12,39.33,21.88,10.67,25.91,41.63,22.48,9.98,36.65,34.83,19.8,8.72
155,../data/images/train/clean/WhatsApp Image 2021-01-11 at 9.38.36 AM (3).jpeg,clean,120.18601157082749,2308.4511903687303,48.046344193588034,87.0,127.0,163.0,76.0,126.6848667601683,2564.5702106764957,50.641585783587935,92.0,127.0,169.0,77.0,119.86306276297336,3610.8150718256534,60.09005801150182,69.0,121.0,163.0,94.0,18.99,31.67,49.08,0.25,15.2,35.53,28.32,20.95,23.23,34.13,19.26,23.38
156,../data/images/train/clean/WhatsApp Image 2020-07-12 at 6.25.08 PM (1).jpeg,clean,157.4217081604426,4853.230371079422,69.66513023801379,97.0,147.0,229.0,132.0,156.71781811894883,5663.574795930956,75.25672591822578,90.0,140.0,240.0,150.0,164.0417807745505,5812.35755934613,76.23881924155259,97.0,147.0,253.0,156.0,7.76,34.84,19.09,38.31,9.22,36.42,15.26,39.11,8.01,35.38,15.6,41.01
157,../data/images/train/clean/WhatsApp Image 2020-10-15 at 8.31.55 AM.jpeg,clean,148.34614927344782,2986.5779663475982,54.64959255426886,106.0,150.0,185.0,79.0,127.86260898282694,2119.492332427024,46.037944485250684,99.0,122.0,155.0,56.0,109.67425074306473,2365.0869410048304,48.632159534662144,75.0,100.0,131.0,56.0,6.85,29.2,42.25,21.7,7.54,48.15,34.91,9.41,13.79,59.23,19.51,7.47
158,../data/images/train/clean/WhatsApp Image 2020-05-19 at 10.25.02 AM.jpeg,clean,114.14991833704529,2083.111778389768,45.64111938142806,79.0,92.0,154.0,75.0,115.64537490720119,3051.132058415494,55.23705331039568,77.0,89.0,156.0,79.0,114.32241648106904,4128.959065430106,64.25697678408241,74.0,85.0,144.0,70.0,6.78,54.88,33.4,4.94,9.47,54.86,23.0,12.67,13.25,55.87,14.45,16.43
159,../data/images/train/clean/00566_03.jpg,clean,117.6551638888889,2040.0965519453632,45.1674279978987,81.0,123.0,148.0,67.0,120.64528888888889,2207.4366744720987,46.98336593382916,84.0,123.0,156.0,72.0,119.64477222222222,2881.8670576703394,53.68302392442456,80.0,117.0,164.0,84.0,15.03,38.51,41.67,4.79,13.69,39.64,40.9,5.77,15.85,41.32,33.45,9.38
160,../data/images/train/clean/WhatsApp Image 2020-07-01 at 9.59.38 AM (1).jpeg,clean,148.55524870081663,1709.105247506819,41.34132614596221,129.0,151.0,174.0,45.0,134.5390645879733,1614.5049179074838,40.18090240285158,119.0,137.0,156.0,37.0,126.59300668151448,1719.136561338485,41.46247172249244,108.0,127.0,151.0,43.0,3.92,20.08,64.03,11.97,6.17,29.2,59.01,5.62,7.8,43.3,44.09,4.8
161,../data/images/train/clean/02137_07.jpg,clean,115.5529,2182.5870793677773,46.71816648122845,88.0,113.0,154.0,66.0,123.25089166666666,2128.3457728160415,46.13399801465337,90.0,132.0,158.0,68.0,126.10651666666666,2686.365287533056,51.83015808902242,83.0,147.0,165.0,82.0,16.03,45.84,34.33,3.8,14.63,31.0,50.25,4.13,17.01,25.92,51.83,5.24
162,../data/images/train/clean/WhatsApp Image 2020-12-04 at 2.48.11 PM.jpeg,clean,130.38264444444445,2021.7558082291357,44.963938975907524,99.0,125.0,164.0,65.0,139.8176923611111,2204.4767062859137,46.951855195358505,105.0,137.0,171.0,66.0,129.57510902777778,2461.2642503006127,49.611130306621845,95.0,120.0,161.0,66.0,6.11,45.34,40.84,7.72,3.63,39.08,45.11,12.17,5.75,49.02,34.47,10.75
163,../data/images/train/clean/WhatsApp Image 2020-07-11 at 5.13.05 PM (2).jpeg,clean,91.2926590106007,2112.1147541192977,45.95774966335164,54.0,82.0,125.0,71.0,88.44476442873969,2256.5674437313137,47.50334139543568,48.0,81.0,121.0,73.0,84.52694051825678,2262.026040992928,47.560761568681045,45.0,72.0,116.0,71.0,34.35,42.11,21.69,1.84,38.36,40.35,18.98,2.3,43.6,37.21,16.53,2.66
164,../data/images/train/clean/WhatsApp Image 2020-05-24 at 5.10.03 PM (7).jpeg,clean,87.67612091503268,1389.367353972308,37.274218354947536,60.0,79.0,106.0,46.0,89.64684967320261,1314.831356742108,36.26060336980216,65.0,82.0,106.0,41.0,86.72762745098039,1232.742826266436,35.110437568712186,63.0,81.0,103.0,40.0,28.97,56.69,12.42,1.92,23.83,62.52,11.58,2.07,25.99,62.13,10.47,1.4
165,../data/images/train/clean/WhatsApp Image 2020-10-04 at 10.35.23 AM (19).jpeg,clean,104.58204510150517,4657.296033077186,68.2443846267016,45.0,90.0,151.0,106.0,105.88264931169319,3771.0662523844367,61.40900790913689,61.0,92.0,147.0,86.0,117.42896405806417,4835.109391197436,69.53495086068182,54.0,108.0,161.0,107.0,37.96,27.5,20.36,14.19,26.88,37.83,26.65,8.64,29.24,26.57,26.78,17.42
166,../data/images/train/clean/WhatsApp Image 2020-05-11 at 8.24.43 PM (13).jpeg,clean,110.92511657559199,1494.5914726184685,38.6599466194467,85.0,115.0,132.0,47.0,109.79724408014572,1304.9677771043594,36.12433773931862,87.0,111.0,128.0,41.0,96.495,1849.8068347449914,43.009380776116636,64.0,102.0,116.0,52.0,13.25,57.45,27.11,2.18,11.42,63.5,22.46,2.62,24.79,57.63,14.53,3.06
167,../data/images/train/clean/WhatsApp Image 2020-05-09 at 10.19.13 AM (1).jpeg,clean,104.89491,735.1532980919002,27.113710518700685,94.0,102.0,112.0,18.0,107.207448,791.8854253272956,28.140458868456562,96.0,104.0,115.0,19.0,106.108386,926.4866064750038,30.43824249977327,95.0,101.0,116.0,21.0,4.34,84.02,9.32,2.31,4.6,81.15,11.67,2.58,5.4,80.13,11.62,2.86
168,../data/images/train/clean/WhatsApp Image 2020-05-10 at 4.32.46 PM.jpeg,clean,97.5706462585034,3523.156762696484,59.35618554705553,46.0,82.0,144.0,98.0,106.05507180650038,3907.461623180786,62.5096922339311,53.0,86.0,154.0,101.0,107.95812925170068,4774.9140404912305,69.10075282145073,56.0,85.0,151.0,95.0,38.48,28.16,26.8,6.56,33.58,31.79,21.25,13.37,35.33,33.24,12.32,19.12
169,../data/images/train/clean/01999_01.jpg,clean,132.00884722222222,2478.6156022822142,49.785696764052766,96.0,123.0,180.0,84.0,133.36977777777778,2405.4592032839505,49.04548096699583,99.0,119.0,181.0,82.0,126.40891944444445,3474.8282043324007,58.94767344291376,74.0,108.0,183.0,109.0,9.21,45.67,24.5,20.63,7.17,45.25,26.42,21.17,20.8,32.32,25.26,21.62
170,../data/images/train/clean/WhatsApp Image 2020-05-15 at 6.41.48 PM.jpeg,clean,115.0671502698215,2500.440403668164,50.00440384274333,84.0,125.0,147.0,63.0,85.36294312992943,1614.5058480420123,40.18091397718589,58.0,92.0,110.0,52.0,56.15154836031548,659.8455262451706,25.687458540018525,40.0,59.0,69.0,29.0,19.46,34.27,42.29,3.98,26.88,61.32,11.0,0.8,62.57,36.14,1.29,0.0
171,../data/images/train/clean/WhatsApp Image 2020-09-24 at 8.52.38 AM (1).jpeg,clean,116.80936105860114,2142.1986032338446,46.28389140115429,88.0,113.0,130.0,42.0,117.05351480781349,1877.8340952075635,43.33398314495869,95.0,112.0,128.0,33.0,109.09136420919975,1992.0438762737792,44.63231874184647,76.0,110.0,127.0,51.0,9.69,63.6,17.92,8.79,8.4,65.95,17.31,8.34,14.64,61.01,17.69,6.65
172,../data/images/train/clean/WhatsApp Image 2020-08-20 at 7.38.12 AM (19).jpeg,clean,158.13809523809525,1239.4486507936506,35.20580422023691,136.0,157.0,184.0,48.0,155.64422011661807,1342.9196232984868,36.645867752019285,133.0,160.0,179.0,46.0,140.15213313896987,1344.7082840794556,36.670264303376044,117.0,137.0,164.0,47.0,1.15,14.46,63.69,20.69,1.17,20.03,66.94,11.86,1.95,36.6,52.79,8.65
173,../data/images/train/clean/00903_01.jpg,clean,116.20505555555556,2129.694918885803,46.14861773537538,86.0,106.0,160.0,74.0,115.50389444444444,2255.1359570555246,47.488271784257684,86.0,103.0,163.0,77.0,112.75489722222223,2561.0691162949925,50.607006592911546,82.0,98.0,168.0,86.0,12.44,50.62,33.05,3.88,12.47,53.02,29.5,5.01,14.92,52.99,25.89,6.2
174,../data/images/train/clean/WhatsApp Image 2020-10-10 at 12.17.57 PM (13).jpeg,clean,129.43410129892038,3807.8728916729356,61.707964572435344,72.0,141.0,181.0,109.0,130.99800691632927,3410.462913537737,58.3991687743733,78.0,142.0,179.0,101.0,118.66044365721997,3460.930102131104,58.829670253462275,64.0,125.0,168.0,104.0,19.97,26.48,39.47,14.08,17.09,28.73,41.99,12.19,24.57,26.24,43.19,5.99
175,../data/images/train/clean/02588_03.jpg,clean,123.68275555555556,1746.2621226291355,41.78830126517631,89.0,134.0,160.0,71.0,120.87733888888889,1814.2910153629323,42.594495129804415,88.0,119.0,164.0,76.0,111.74839166666666,2594.4595682465965,50.935837759347756,69.0,107.0,166.0,97.0,11.86,30.81,56.74,0.58,11.69,45.13,42.66,0.52,22.65,37.73,38.96,0.67
176,../data/images/train/clean/WhatsApp Image 2020-10-27 at 9.33.26 AM (7).jpeg,clean,99.4994517013385,1864.037953255246,43.1745058252581,68.0,100.0,115.0,47.0,103.61674528301887,1835.833721772565,42.84663022657167,74.0,101.0,115.0,41.0,96.98735687792292,1897.7725179453676,43.56343097077373,66.0,95.0,110.0,44.0,20.48,63.67,6.98,8.86,13.98,68.68,7.99,9.35,22.43,60.83,7.98,8.76
177,../data/images/train/clean/02926_03.jpg,clean,122.59746388888888,2043.6891785681407,45.20718060848454,97.0,123.0,142.0,45.0,123.829175,2071.159166041596,45.50998973897485,96.0,125.0,143.0,47.0,121.80162222222222,2709.3547240350617,52.05146226605994,82.0,130.0,150.0,68.0,11.01,45.71,30.92,12.35,10.5,43.44,33.64,12.43,17.85,29.14,40.43,12.58
178,../data/images/train/clean/WhatsApp Image 2020-11-02 at 7.32.01 PM (4).jpeg,clean,109.01457044314381,3543.5336265399765,59.52758710497156,62.0,98.0,163.0,101.0,108.08502612876254,3277.006544595889,57.245144288366404,62.0,101.0,156.0,94.0,97.1947512541806,4085.357299791804,63.916799824395184,45.0,82.0,148.0,103.0,26.99,34.52,30.07,8.42,27.65,30.49,35.74,6.12,37.07,24.75,30.87,7.31
179,../data/images/train/clean/00595_05.jpg,clean,115.03662222222222,2030.659419923951,45.062838569312866,88.0,106.0,145.0,57.0,117.48903888888889,1969.182640965155,44.375473416800354,92.0,109.0,146.0,54.0,116.12661111111112,1994.7185807376543,44.66227245380215,92.0,110.0,143.0,51.0,10.81,51.26,29.16,8.77,10.27,50.92,29.98,8.83,11.75,50.56,28.82,8.87
180,../data/images/train/clean/WhatsApp Image 2020-05-10 at 1.09.51 PM (1).jpeg,clean,146.53430957683742,1288.3475162456618,35.89355814412472,116.0,147.0,176.0,60.0,142.88509651076467,1049.9201490812573,32.40247134218711,119.0,143.0,167.0,48.0,135.05864884929474,1154.5868275730554,33.979211697346,108.0,137.0,160.0,52.0,0.01,36.5,54.6,8.89,0.01,34.86,61.97,3.16,0.38,40.56,56.7,2.36
181,../data/images/train/clean/WhatsApp Image 2020-10-26 at 9.11.28 AM (1).jpeg,clean,117.314596875,3727.8176100562396,61.05585647631388,59.0,113.0,151.0,92.0,96.17394166666666,2757.41549637993,52.51109879234989,46.0,86.0,140.0,94.0,71.77155208333333,2065.5251657160366,45.44804908591827,32.0,56.0,117.0,85.0,28.91,25.61,29.7,15.79,38.46,26.73,31.3,3.51,55.21,26.21,18.42,0.15
182,../data/images/train/clean/WhatsApp Image 2020-06-29 at 8.55.44 AM (3).jpeg,clean,125.7106704026567,2997.6807694965964,54.75108007607335,94.0,116.0,137.0,43.0,120.11602324616024,2967.657526568161,54.476210648026544,87.0,113.0,135.0,48.0,112.30171232876712,2899.686070127292,53.84873322676488,79.0,107.0,131.0,52.0,9.36,55.4,19.63,15.61,11.74,55.97,18.79,13.5,15.73,56.51,16.89,10.87
183,../data/images/train/clean/01749_00.jpg,clean,155.43148333333335,1041.9044999108335,32.27854550488348,142.0,160.0,183.0,41.0,154.99634166666667,1024.1734671721529,32.00271030978709,139.0,156.0,186.0,47.0,149.92716388888888,1667.0548754564736,40.82958333679727,134.0,152.0,187.0,53.0,1.44,15.32,76.88,6.36,1.27,15.73,75.3,7.7,5.21,15.26,67.17,12.36
184,../data/images/train/clean/00517_04.jpg,clean,112.64350555555555,2689.9136783777476,51.86437774019609,73.0,118.0,140.0,67.0,114.69265,2674.248713755278,51.71313869564753,77.0,120.0,140.0,63.0,108.39198611111111,3280.950021888697,57.27957770347733,61.0,119.0,138.0,77.0,20.52,42.04,25.84,11.6,18.3,42.26,25.51,13.93,26.22,34.84,24.66,14.28
185,../data/images/train/clean/WhatsApp Image 2020-12-27 at 12.28.47 PM (1).jpeg,clean,101.84819444444445,2900.444229977517,53.85577248519899,65.0,94.0,124.0,59.0,108.24027777777778,2873.920427509046,53.60895846319947,73.0,100.0,127.0,54.0,101.1551101532567,2942.1913287713905,54.24197017781886,66.0,89.0,120.0,54.0,24.32,52.51,14.78,8.38,18.43,56.76,15.69,9.12,22.94,56.0,12.88,8.18
186,../data/images/train/clean/WhatsApp Image 2020-10-27 at 9.33.26 AM (11).jpeg,clean,109.74084944208707,1827.263609830524,42.74650406560195,80.0,104.0,122.0,42.0,109.36170438472419,1918.0312952832587,43.7953341725264,80.0,103.0,119.0,39.0,101.66562829752363,2545.161137348559,50.44959006125381,63.0,95.0,115.0,52.0,10.5,67.15,14.58,7.78,9.87,68.7,12.52,8.91,25.56,55.19,9.33,9.92
187,../data/images/train/clean/WhatsApp Image 2020-09-24 at 8.52.38 AM (3).jpeg,clean,144.4324320652174,1684.7412560624846,41.0455997161996,121.0,150.0,172.0,51.0,143.12101431856186,1952.083451793066,44.18238847994827,115.0,148.0,172.0,57.0,133.92186507107024,2225.7062648116444,47.17739145832084,104.0,141.0,166.0,62.0,4.09,25.48,64.22,6.21,5.22,26.47,59.32,9.0,7.66,30.46,56.4,5.47
